,Sentence,Word,POS,IOB Tag
105,sentence 4,in,IN,O
106,sentence 4,fy2013-14,NN,O
107,sentence 4,one,CD,O
108,sentence 4,step,NN,B-NP
109,sentence 4,advancement,NN,I-NP
110,sentence 4,on,IN,O
111,sentence 4,july,NN,O
112,sentence 4,13,CD,O
113,sentence 4,2014,CD,O
114,sentence 4,beginning,NN,O
115,sentence 4,of,IN,O
116,sentence 4,pay,NN,B-NP
117,sentence 4,period,NN,I-NP
118,sentence 4,in,IN,O
119,sentence 4,fy2014-15,NN,O
120,sentence 4,one,CD,O
121,sentence 4,step,NN,B-NP
122,sentence 4,advancement,NN,I-NP
123,sentence 4,on,IN,O
124,sentence 4,july,NN,O
125,sentence 4,12,CD,O
126,sentence 4,2015,CD,O
127,sentence 4,beginning,NN,O
128,sentence 4,of,IN,O
129,sentence 4,pay,NN,B-NP
130,sentence 4,period,NN,I-NP
131,sentence 4,in,IN,O
132,sentence 4,fy2015-16,NN,B-NP
133,sentence 4,employees,NN,I-NP
134,sentence 4,who,WP,O
135,sentence 4,are,VB,B-VP
136,sentence 4,on,IN,I-VP
137,sentence 4,the,DT,B-NP
138,sentence 4,top,JJ,I-NP
139,sentence 4,step,NN,I-NP
140,sentence 4,of,IN,O
141,sentence 4,salary,NN,B-NP
142,sentence 4,range,NN,I-NP
143,sentence 4,of,IN,O
144,sentence 4,june,NN,O
145,sentence 4,28,CD,O
146,sentence 4,2014,CD,O
147,sentence 4,one,CD,O
148,sentence 4,step,NN,B-NP
149,sentence 4,advancement,NN,I-NP
150,sentence 4,on,IN,O
151,sentence 4,july,NN,O
152,sentence 4,13,CD,O
153,sentence 4,2014,CD,O
154,sentence 4,beginning,NN,O
155,sentence 4,of,IN,O
156,sentence 4,pay,NN,B-NP
157,sentence 4,period,NN,I-NP
158,sentence 4,in,IN,O
159,sentence 4,fy2014-15,NN,O
160,sentence 4,one,CD,O
161,sentence 4,step,NN,B-NP
162,sentence 4,advancement,NN,I-NP
163,sentence 4,on,IN,O
164,sentence 4,january,NN,O
165,sentence 4,11,CD,O
166,sentence 4,2015,CD,O
167,sentence 4,beginning,NN,O
168,sentence 4,of,IN,O
169,sentence 4,pay,NN,B-NP
170,sentence 4,period,NN,I-NP
171,sentence 4,15,CD,O
172,sentence 4,in,IN,O
173,sentence 4,fy2014-15,NN,O
174,sentence 4,one,CD,O
175,sentence 4,step,NN,B-NP
176,sentence 4,advancement,NN,I-NP
177,sentence 4,on,IN,O
178,sentence 4,july,NN,O
179,sentence 4,12,CD,O
180,sentence 4,2015,CD,O
181,sentence 4,beginning,NN,O
182,sentence 4,of,IN,O
183,sentence 4,pay,NN,B-NP
184,sentence 4,period,NN,I-NP
185,sentence 4,in,IN,O
186,sentence 4,fy2015-16,NN,B-NP
187,sentence 4,classifications,NN,I-NP
188,sentence 4,for,IN,O
189,sentence 4,which,WDT,O
190,sentence 4,compensation,NN,O
191,sentence 4,is,VB,B-VP
192,sentence 4,set,VB,I-VP
193,sentence 4,at,IN,I-VP
194,sentence 4,fixed,JJ,B-NP
195,sentence 4,amount,NN,I-NP
196,sentence 4,flat,JJ,O
197,sentence 4,rated,VB,B-VP
198,sentence 4,shall,MD,B-VP
199,sentence 4,receive,VB,I-VP
200,sentence 4,equivalent,JJ,B-NP
201,sentence 4,salary,NN,I-NP
202,sentence 4,adjustment,NN,I-NP
203,sentence 4,at,IN,O
204,sentence 4,the,DT,B-NP
205,sentence 4,time,NN,I-NP
206,sentence 4,specified,VB,B-VP
207,sentence 4,above,IN,I-VP
208,sentence 4,for,IN,O
209,sentence 4,employee,NN,O
210,sentence 4,on,IN,O
211,sentence 4,the,DT,B-NP
212,sentence 4,top,JJ,I-NP
213,sentence 4,step,NN,I-NP
214,sentence 4,of,IN,O
215,sentence 4,salary,NN,B-NP
216,sentence 4,range,NN,I-NP
217,sentence 4,of,IN,O
218,sentence 4,june,NN,O
219,sentence 4,29,CD,O
220,sentence 4,2014,CD,O
221,sentence 4,unless,IN,O
222,sentence 4,negotiated,VB,B-VP
223,sentence 4,otherwise,RB,O
224,sentence 4,or,CC,O
225,sentence 4,in,IN,O
226,sentence 4,accordance,NN,O
227,sentence 4,with,IN,O
228,sentence 4,provision,NN,O
229,sentence 4,of,IN,O
230,sentence 4,the,DT,B-NP
231,sentence 4,laac,NN,I-NP
232,sentence 5,anniversary,JJ,B-NP
233,sentence 5,date,NN,I-NP
234,sentence 5,for,IN,O
235,sentence 5,all,DT,B-NP
236,sentence 5,bargaining,JJ,I-NP
237,sentence 5,unit,NN,I-NP
238,sentence 5,member,NN,I-NP
239,sentence 5,shall,MD,B-VP
240,sentence 5,be,VB,I-VP
241,sentence 5,frozen,VB,I-VP
242,sentence 5,on,IN,I-VP
243,sentence 5,april,NN,O
244,sentence 5,2014,CD,O
245,sentence 5,and,CC,O
246,sentence 5,shall,MD,B-VP
247,sentence 5,be,VB,I-VP
248,sentence 5,unfrozen,JJ,I-VP
249,sentence 5,on,IN,I-VP
250,sentence 5,july,NN,O
251,sentence 5,13,CD,O
252,sentence 5,2015,CD,O
253,sentence 6,article,NN,O
254,sentence 6,6.2,CD,O
255,sentence 6,overtime,JJ,B-NP
256,sentence 6,section,NN,I-NP
257,sentence 6,distribution,NN,I-NP
258,sentence 6,of,IN,O
259,sentence 6,overtime,JJ,B-NP
260,sentence 6,management,NN,I-NP
261,sentence 6,will,MD,B-VP
262,sentence 6,attempt,VB,I-VP
263,sentence 6,to,TO,I-VP
264,sentence 6,assign,VB,I-VP
265,sentence 6,overtime,JJ,B-NP
266,sentence 6,work,NN,I-NP
267,sentence 6,equitably,RB,O
268,sentence 6,possible,JJ,O
269,sentence 6,among,IN,O
270,sentence 6,all,DT,O
271,sentence 6,qualified,VB,B-VP
272,sentence 6,employee,NN,O
273,sentence 6,in,IN,O
274,sentence 6,the,DT,B-NP
275,sentence 6,same,JJ,I-NP
276,sentence 6,classification,NN,I-NP
277,sentence 6,in,IN,O
278,sentence 6,the,DT,B-NP
279,sentence 6,same,JJ,I-NP
280,sentence 6,organizational,JJ,I-NP
281,sentence 6,unit,NN,I-NP
282,sentence 6,and,CC,O
283,sentence 6,work,NN,B-NP
284,sentence 6,location,NN,I-NP
285,sentence 7,however,RB,B-NP
286,sentence 7,management,NN,I-NP
287,sentence 7,may,MD,B-VP
288,sentence 7,consider,VB,I-VP
289,sentence 7,special,JJ,B-NP
290,sentence 7,skill,NN,I-NP
291,sentence 7,required,VB,B-VP
292,sentence 7,to,TO,I-VP
293,sentence 7,perform,VB,I-VP
294,sentence 7,particular,JJ,B-NP
295,sentence 7,work,NN,I-NP
296,sentence 8,no,DT,B-NP
297,sentence 8,employee,NN,I-NP
298,sentence 8,shall,MD,B-VP
299,sentence 8,work,VB,I-VP
300,sentence 8,overtime,JJ,I-VP
301,sentence 8,without,IN,I-VP
302,sentence 8,prior,JJ,B-NP
303,sentence 8,approval,NN,I-NP
304,sentence 8,from,IN,O
305,sentence 8,his,PRP$,O
306,sentence 8,or,CC,O
307,sentence 8,her,PRP$,B-NP
308,sentence 8,supervisor,NN,I-NP
309,sentence 9,flsa,NN,B-NP
310,sentence 9,non-exempt,JJ,I-NP
311,sentence 9,employee,NN,I-NP
312,sentence 9,may,MD,B-VP
313,sentence 9,not,RB,O
314,sentence 9,work,VB,B-VP
315,sentence 9,outside,IN,I-VP
316,sentence 9,of,IN,O
317,sentence 9,scheduled,JJ,O
318,sentence 9,working,VB,B-VP
319,sentence 9,31,CD,O
320,sentence 9,mou01,NN,O
321,sentence 9,41457,CD,O
322,sentence 9,42551,CD,O
323,sentence 9,hour,NN,O
324,sentence 9,or,CC,O
325,sentence 9,during,IN,O
326,sentence 9,unpaid,JJ,B-NP
327,sentence 9,meal,JJ,I-NP
328,sentence 9,period,NN,I-NP
329,sentence 9,without,IN,O
330,sentence 9,the,DT,B-NP
331,sentence 9,prior,JJ,I-NP
332,sentence 9,approval,NN,I-NP
333,sentence 9,of,IN,O
334,sentence 9,supervisor,NN,O
335,sentence 9,consistent,JJ,O
336,sentence 9,with,IN,O
337,sentence 9,department,NN,B-NP
338,sentence 9,policy,NN,I-NP
339,sentence 10,failure,NN,O
340,sentence 10,to,TO,O
341,sentence 10,secure,VB,B-VP
342,sentence 10,prior,JJ,B-NP
343,sentence 10,approval,NN,I-NP
344,sentence 10,may,MD,B-VP
345,sentence 10,result,VB,I-VP
346,sentence 10,in,IN,I-VP
347,sentence 10,discipline,NN,O
348,sentence 11,working,VB,B-VP
349,sentence 11,and,CC,O
350,sentence 11,not,RB,O
351,sentence 11,recording,VB,B-VP
352,sentence 11,the,DT,B-NP
353,sentence 11,time,NN,I-NP
354,sentence 11,is,VB,B-VP
355,sentence 11,similarly,RB,O
356,sentence 11,prohibited,VB,B-VP
357,sentence 12,section,NN,B-NP
358,sentence 12,ii,NN,I-NP
359,sentence 12,non-emergency,NN,I-NP
360,sentence 12,overtime,NN,I-NP
361,sentence 12,whenever,WRB,O
362,sentence 12,management,NN,O
363,sentence 12,deems,VB,B-VP
364,sentence 12,it,PRP,O
365,sentence 12,necessary,JJ,O
366,sentence 12,to,TO,O
367,sentence 12,perform,VB,B-VP
368,sentence 12,non-emergency,NN,B-NP
369,sentence 12,work,NN,I-NP
370,sentence 12,on,IN,O
371,sentence 12,an,DT,B-NP
372,sentence 12,overtime,JJ,I-NP
373,sentence 12,basis,NN,I-NP
374,sentence 12,employee,NN,I-NP
375,sentence 12,required,VB,B-VP
376,sentence 12,to,TO,I-VP
377,sentence 12,work,VB,I-VP
378,sentence 12,will,MD,B-VP
379,sentence 12,be,VB,I-VP
380,sentence 12,given,VB,I-VP
381,sentence 12,at,IN,I-VP
382,sentence 12,48,CD,O
383,sentence 12,hour,NN,B-NP
384,sentence 12,notice,NN,I-NP
385,sentence 12,least,JJ,O
386,sentence 13,section,NN,B-NP
387,sentence 13,iii,NN,I-NP
388,sentence 13,rate,NN,I-NP
389,sentence 13,and,CC,O
390,sentence 13,method,NN,O
391,sentence 13,of,IN,O
392,sentence 13,compensation,NN,B-NP
393,sentence 13,flsa,NN,I-NP
394,sentence 13,non-exempt,JJ,B-NP
395,sentence 13,employees,NN,I-NP
396,sentence 13,compensation,NN,I-NP
397,sentence 13,for,IN,O
398,sentence 13,overtime,NN,O
399,sentence 13,worked,VB,B-VP
400,sentence 13,by,IN,I-VP
401,sentence 13,employee,NN,O
402,sentence 13,in,IN,O
403,sentence 13,classification,NN,O
404,sentence 13,listed,VB,B-VP
405,sentence 13,in,IN,I-VP
406,sentence 13,appendix,NN,O
407,sentence 13,herein,RB,O
408,sentence 13,shall,MD,B-VP
409,sentence 13,be,VB,I-VP
410,sentence 13,for,IN,I-VP
411,sentence 13,all,DT,B-NP
412,sentence 13,hour,NN,I-NP
413,sentence 13,worked,VB,B-VP
414,sentence 13,in,IN,I-VP
415,sentence 13,excess,NN,O
416,sentence 13,of,IN,O
417,sentence 13,40,CD,O
418,sentence 13,hour,NN,O
419,sentence 13,in,IN,O
420,sentence 13,workweek,NN,O
421,sentence 14,management,NN,O
422,sentence 14,shall,MD,B-VP
423,sentence 14,have,VB,I-VP
424,sentence 14,the,DT,B-NP
425,sentence 14,discretion,NN,I-NP
426,sentence 14,to,TO,O
427,sentence 14,determine,VB,B-VP
428,sentence 14,whether,IN,I-VP
429,sentence 14,overtime,JJ,B-NP
430,sentence 14,compensation,NN,I-NP
431,sentence 14,shall,MD,B-VP
432,sentence 14,be,VB,I-VP
433,sentence 14,in,IN,I-VP
434,sentence 14,cash,NN,O
435,sentence 14,or,CC,O
436,sentence 14,time-off,NN,O
437,sentence 15,overtime,JJ,B-NP
438,sentence 15,compensation,NN,I-NP
439,sentence 15,shall,MD,B-VP
440,sentence 15,be,VB,I-VP
441,sentence 15,in,IN,I-VP
442,sentence 15,time,NN,O
443,sentence 15,off,RP,O
444,sentence 15,at,IN,O
445,sentence 15,the,DT,B-NP
446,sentence 15,rate,NN,I-NP
447,sentence 15,of,IN,O
448,sentence 15,one,CD,O
449,sentence 15,and,CC,O
450,sentence 15,one-half,CD,O
451,sentence 15,1½,CD,O
452,sentence 15,hour,NN,O
453,sentence 15,for,IN,O
454,sentence 15,each,DT,B-NP
455,sentence 15,hour,NN,I-NP
456,sentence 15,of,IN,O
457,sentence 15,overtime,JJ,O
458,sentence 15,worked,VB,B-VP
459,sentence 15,or,CC,O
460,sentence 15,at,IN,O
461,sentence 15,the,DT,B-NP
462,sentence 15,rate,NN,I-NP
463,sentence 15,of,IN,O
464,sentence 15,one,CD,O
465,sentence 15,and,CC,O
466,sentence 15,one-half,CD,O
467,sentence 15,1½,CD,O
468,sentence 15,time,NN,O
469,sentence 15,the,DT,B-NP
470,sentence 15,employee,NN,I-NP
471,sentence 15,'s,PRP$,B-NP
472,sentence 15,regular,JJ,I-NP
473,sentence 15,rate,NN,I-NP
474,sentence 15,of,IN,O
475,sentence 15,pay,NN,O
476,sentence 16,section,NN,B-NP
477,sentence 16,iv,NN,I-NP
478,sentence 16,compensated,VB,B-VP
479,sentence 16,time,NN,O
480,sentence 16,off,IN,O
481,sentence 16,employees,NN,O
482,sentence 16,may,MD,B-VP
483,sentence 16,subject,VB,I-VP
484,sentence 16,to,TO,I-VP
485,sentence 16,management,NN,B-NP
486,sentence 16,discretion,NN,I-NP
487,sentence 16,be,VB,B-VP
488,sentence 16,permitted,VB,I-VP
489,sentence 16,to,TO,I-VP
490,sentence 16,accumulate,VB,I-VP
491,sentence 16,up,RP,O
492,sentence 16,to,TO,O
493,sentence 16,80,CD,O
494,sentence 16,hour,NN,O
495,sentence 16,of,IN,O
496,sentence 16,compensatory,JJ,B-NP
497,sentence 16,time,NN,I-NP
498,sentence 16,off,RP,O
499,sentence 16,cto,NN,O
500,sentence 16,occasionally,RB,B-NP
501,sentence 16,employee,NN,I-NP
502,sentence 16,may,MD,B-VP
503,sentence 16,accumulate,VB,I-VP
504,sentence 16,cto,NN,O
505,sentence 16,in,IN,O
506,sentence 16,excess,NN,O
507,sentence 16,of,IN,O
508,sentence 16,80,CD,O
509,sentence 16,hour,NN,O
510,sentence 16,for,IN,O
511,sentence 16,temporary,JJ,B-NP
512,sentence 16,period,NN,I-NP
513,sentence 16,of,IN,O
514,sentence 16,time,NN,O
515,sentence 16,not,RB,O
516,sentence 16,to,TO,O
517,sentence 16,exceed,VB,B-VP
518,sentence 16,an,DT,B-NP
519,sentence 16,additional,JJ,I-NP
520,sentence 16,fiscal,JJ,I-NP
521,sentence 16,year,NN,I-NP
522,sentence 17,if,IN,O
523,sentence 17,an,DT,B-NP
524,sentence 17,employee,NN,I-NP
525,sentence 17,does,VB,B-VP
526,sentence 17,not,RB,B-NP
527,sentence 17,schedule,NN,I-NP
528,sentence 17,and,CC,O
529,sentence 17,take,VB,B-VP
530,sentence 17,cto,NN,O
531,sentence 17,over,IN,O
532,sentence 17,80,CD,O
533,sentence 17,hour,NN,O
534,sentence 17,prior,JJ,O
535,sentence 17,to,TO,O
536,sentence 17,the,DT,B-NP
537,sentence 17,end,NN,I-NP
538,sentence 17,of,IN,O
539,sentence 17,the,DT,B-NP
540,sentence 17,fiscal,JJ,I-NP
541,sentence 17,year,NN,I-NP
542,sentence 17,management,NN,I-NP
543,sentence 17,may,MD,B-VP
544,sentence 17,require,VB,I-VP
545,sentence 17,employee,NN,O
546,sentence 17,to,TO,O
547,sentence 17,use,VB,B-VP
548,sentence 17,cto,NN,O
549,sentence 17,prior,JJ,O
550,sentence 17,to,TO,O
551,sentence 17,the,DT,B-NP
552,sentence 17,end,NN,I-NP
553,sentence 17,of,IN,O
554,sentence 17,the,DT,B-NP
555,sentence 17,fiscal,JJ,I-NP
556,sentence 17,year,NN,I-NP
557,sentence 17,require,VB,B-VP
558,sentence 17,employee,NN,O
559,sentence 17,to,TO,O
560,sentence 17,use,VB,B-VP
561,sentence 17,such,JJ,B-NP
562,sentence 17,time,NN,I-NP
563,sentence 17,in,IN,O
564,sentence 17,lieu,NN,O
565,sentence 17,of,IN,O
566,sentence 17,vacation,NN,O
567,sentence 17,unless,IN,O
568,sentence 17,the,DT,B-NP
569,sentence 17,mandatory,JJ,I-NP
570,sentence 17,use,NN,I-NP
571,sentence 17,of,IN,O
572,sentence 17,cto,NN,O
573,sentence 17,would,MD,B-VP
574,sentence 17,result,VB,I-VP
575,sentence 17,in,IN,I-VP
576,sentence 17,the,DT,B-NP
577,sentence 17,loss,NN,I-NP
578,sentence 17,of,IN,O
579,sentence 17,vacation,NN,B-NP
580,sentence 17,accumulation,NN,I-NP
581,sentence 17,or,CC,O
582,sentence 17,other,JJ,B-NP
583,sentence 17,time,NN,I-NP
584,sentence 17,or,CC,O
585,sentence 17,authorize,VB,B-VP
586,sentence 17,cash,NN,B-NP
587,sentence 17,payment,NN,I-NP
588,sentence 17,leave,NN,I-NP
589,sentence 18,in,IN,O
590,sentence 18,the,DT,B-NP
591,sentence 18,event,NN,I-NP
592,sentence 18,sufficient,NN,I-NP
593,sentence 18,fund,NN,I-NP
594,sentence 18,are,VB,B-VP
595,sentence 18,not,RB,O
596,sentence 18,available,JJ,O
597,sentence 18,to,TO,O
598,sentence 18,provide,VB,B-VP
599,sentence 18,cash,NN,B-NP
600,sentence 18,compensation,NN,I-NP
601,sentence 18,for,IN,O
602,sentence 18,all,DT,O
603,sentence 18,or,CC,O
604,sentence 18,portion,NN,O
605,sentence 18,of,IN,O
606,sentence 18,the,DT,B-NP
607,sentence 18,cto,NN,I-NP
608,sentence 18,hour,NN,I-NP
609,sentence 18,in,IN,O
610,sentence 18,excess,NN,O
611,sentence 18,of,IN,O
612,sentence 18,80,CD,O
613,sentence 18,management,NN,O
614,sentence 18,may,MD,B-VP
615,sentence 18,extend,VB,I-VP
616,sentence 18,the,DT,B-NP
617,sentence 18,time,NN,I-NP
618,sentence 18,limit,NN,I-NP
619,sentence 18,for,IN,O
620,sentence 18,period,NN,O
621,sentence 18,not,RB,O
622,sentence 18,to,TO,O
623,sentence 18,exceed,VB,B-VP
624,sentence 18,one,CD,O
625,sentence 18,additional,JJ,B-NP
626,sentence 18,fiscal,JJ,I-NP
627,sentence 18,year,NN,I-NP
628,sentence 19,in,IN,O
629,sentence 19,accordance,NN,O
630,sentence 19,with,IN,O
631,sentence 19,flsa,NN,O
632,sentence 19,no,DT,B-NP
633,sentence 19,employee,NN,I-NP
634,sentence 19,shall,MD,B-VP
635,sentence 19,lose,VB,I-VP
636,sentence 19,cto,NN,O
637,sentence 20,an,DT,B-NP
638,sentence 20,employee,NN,I-NP
639,sentence 20,who,WP,O
640,sentence 20,has,VB,B-VP
641,sentence 20,requested,VB,I-VP
642,sentence 20,the,DT,B-NP
643,sentence 20,use,NN,I-NP
644,sentence 20,of,IN,O
645,sentence 20,cto,NN,O
646,sentence 20,for,IN,O
647,sentence 20,overtime,NN,O
648,sentence 20,worked,VB,B-VP
649,sentence 20,must,MD,B-VP
650,sentence 20,be,VB,I-VP
651,sentence 20,permitted,VB,I-VP
652,sentence 20,by,IN,I-VP
653,sentence 20,management,NN,O
654,sentence 20,to,TO,O
655,sentence 20,use,VB,B-VP
656,sentence 20,such,JJ,B-NP
657,sentence 20,time,NN,I-NP
658,sentence 20,within,IN,O
659,sentence 20,reasonable,JJ,B-NP
660,sentence 20,time,NN,I-NP
661,sentence 20,period,NN,I-NP
662,sentence 20,after,IN,O
663,sentence 20,making,VB,B-VP
664,sentence 20,the,DT,B-NP
665,sentence 20,request,NN,I-NP
666,sentence 20,unless,IN,O
667,sentence 20,the,DT,B-NP
668,sentence 20,use,NN,I-NP
669,sentence 20,of,IN,O
670,sentence 20,the,DT,B-NP
671,sentence 20,cto,NN,I-NP
672,sentence 20,within,IN,O
673,sentence 20,reasonable,JJ,B-NP
674,sentence 20,period,NN,I-NP
675,sentence 20,would,MD,B-VP
676,sentence 20,unduly,RB,O
677,sentence 20,disrupt,VB,B-VP
678,sentence 20,the,DT,B-NP
679,sentence 20,operation,NN,I-NP
680,sentence 20,of,IN,O
681,sentence 20,the,DT,B-NP
682,sentence 20,city,NN,I-NP
683,sentence 20,department,NN,I-NP
684,sentence 21,this,DT,O
685,sentence 21,standard,JJ,O
686,sentence 21,does,VB,B-VP
687,sentence 21,not,RB,O
688,sentence 21,apply,VB,B-VP
689,sentence 21,to,TO,I-VP
690,sentence 21,non-flsa,JJ,B-NP
691,sentence 21,overtime,NN,I-NP
692,sentence 21,i.e.,RB,B-NP
693,sentence 21,overtime,NN,I-NP
694,sentence 21,earned,VB,B-VP
695,sentence 21,pursuant,NN,O
696,sentence 21,to,TO,O
697,sentence 21,this,DT,B-NP
698,sentence 21,agreement,NN,I-NP
699,sentence 21,that,WDT,O
700,sentence 21,does,VB,B-VP
701,sentence 21,not,RB,O
702,sentence 21,meet,VB,B-VP
703,sentence 21,the,DT,B-NP
704,sentence 21,flsa,NN,I-NP
705,sentence 21,definition,NN,I-NP
706,sentence 21,of,IN,O
707,sentence 21,overtime,JJ,O
708,sentence 21,32,CD,O
709,sentence 21,mou01,NN,O
710,sentence 21,41457,CD,O
711,sentence 21,42551,CD,O
712,sentence 21,under,IN,O
713,sentence 21,no,DT,B-NP
714,sentence 21,circumstance,NN,I-NP
715,sentence 21,shall,MD,B-VP
716,sentence 21,compensated,VB,I-VP
717,sentence 21,time,NN,O
718,sentence 21,off,RP,O
719,sentence 21,in,IN,O
720,sentence 21,excess,NN,O
721,sentence 21,of,IN,O
722,sentence 21,240,CD,O
723,sentence 21,hour,NN,O
724,sentence 21,be,VB,B-VP
725,sentence 21,accumulated,VB,I-VP
726,sentence 22,article,NN,O
727,sentence 22,6.3,CD,O
728,sentence 22,shift,NN,O
729,sentence 22,differential,JJ,O
730,sentence 22,notwithstanding,VB,B-VP
731,sentence 22,the,DT,B-NP
732,sentence 22,provision,NN,I-NP
733,sentence 22,of,IN,O
734,sentence 22,note,NN,O
735,sentence 22,of,IN,O
736,sentence 22,schedule,NN,O
737,sentence 22,of,IN,O
738,sentence 22,laac,NN,B-NP
739,sentence 22,section,NN,I-NP
740,sentence 22,4.61,CD,O
741,sentence 22,any,DT,B-NP
742,sentence 22,employee,NN,I-NP
743,sentence 22,when,WRB,O
744,sentence 22,required,VB,B-VP
745,sentence 22,to,TO,I-VP
746,sentence 22,work,VB,I-VP
747,sentence 22,fifty,CD,O
748,sentence 22,percent,NN,O
749,sentence 22,50,CD,B-NUM
750,sentence 22,%,%,I-NUM
751,sentence 22,or,CC,O
752,sentence 22,more,RB,O
753,sentence 22,of,IN,O
754,sentence 22,his/her,PRP$,B-NP
755,sentence 22,time,NN,I-NP
756,sentence 22,during,IN,O
757,sentence 22,his/her,PRP$,B-NP
758,sentence 22,regular,JJ,I-NP
759,sentence 22,shift,NN,I-NP
760,sentence 22,on,IN,O
761,sentence 22,any,DT,O
762,sentence 22,one,CD,O
763,sentence 22,day,NN,O
764,sentence 22,between,IN,O
765,sentence 22,the,DT,B-NP
766,sentence 22,hour,NN,I-NP
767,sentence 22,of,IN,O
768,sentence 22,5:00,CD,O
769,sentence 22,p.m.,NN,O
770,sentence 22,and,CC,O
771,sentence 22,8:00,CD,O
772,sentence 22,a.m.,NN,O
773,sentence 22,shall,MD,B-VP
774,sentence 22,receive,VB,I-VP
775,sentence 22,for,IN,I-VP
776,sentence 22,each,DT,B-NP
777,sentence 22,such,JJ,I-NP
778,sentence 22,day,NN,I-NP
779,sentence 22,worked,VB,B-VP
780,sentence 22,salary,NN,O
781,sentence 22,at,IN,O
782,sentence 22,the,DT,B-NP
783,sentence 22,second,JJ,I-NP
784,sentence 22,premium,JJ,I-NP
785,sentence 22,level,NN,I-NP
786,sentence 22,rate,NN,I-NP
787,sentence 22,above,IN,O
788,sentence 22,the,DT,B-NP
789,sentence 22,appropriate,JJ,I-NP
790,sentence 22,step,NN,I-NP
791,sentence 22,rate,NN,I-NP
792,sentence 22,of,IN,O
793,sentence 22,the,DT,B-NP
794,sentence 22,salary,NN,I-NP
795,sentence 22,range,NN,I-NP
796,sentence 22,prescribed,VB,B-VP
797,sentence 22,for,IN,I-VP
798,sentence 22,his/her,PRP$,B-NP
